CUSTOMER,days
KUEHNE & NAGEL LTD,1
TRANS GLOBAL FREIGHT MANAGEMEN,1
MEWS LTD,1
MA LOGISTICS LTD,1
FAR LOGISTICS LTD,1
WILSON GLOBAL LOGISTICS LTD,1
ARKTECH (NE) LIMITED,1
ASPEN INTERNATIONAL FREIGHT,1
BERLIN PACKAGING UK LTD,2
FCL GLOBAL FORWARDING,2
BAKER LOGISTICS LTD,2
KINTETSU WORLD EXPRESS UK LTD,2
CMA (UK),3
RAW MINERALS B.V.,3
OCN (BATTERY PLANT),3
LIGENTIA  INTERNATIONAL LTD,3
ALBATRANS LONDON (UK) LTD,3
UNIEXPRESS LIMITED,4
CARDINAL MARITIME LTD,4
LV SHIPPING LTD,4
PROGRESSIVE 3PL LIMITED,4
NISSAN TRADING EUROPE LTD,4
REUDAN INTERNATIONAL,7
KERRY LOGISTICS (UK) LTD,9
KEITH SPICER LTD,9
REGENCY FREIGHT SERVICES LTD,10
NISSAN MOTOR MANUFACTURING,12
HELLMANN WORLDWIDE LOGISTICS,16
FITFLOP LTD,18
J BARBOUR AND SONS LTD,21
KOMATSU UK LTD (C/S),21
HAPAG LLOYD AG,26
NIPPON EXPRESS (UK) LIMITED,47
HINE FREIGHT SERVICES LIMITED,51
OCEAN NETWORK EXPRESS PTE LTD,62
DHL GLOBAL FORWARDING UK LTD,66
MAERSK BATTERY PLANT,70
KUEHNE + NAGEL LTD,75
VIPA LAUSANNE SA,83
MAERSK A/S,117
HILLEBRAND BULK LOGISTICS,266
KOMATSU UK LTD (CON),298
LIGENTIA INTERNATIONAL LTD,407
NISSAN MOTOR MANUFACTURING UK,1460
